ParticipantName;FixationIndex;AOI[window]Hit;AOI[title]Hit;AOI[legend]Hit;AOI[Q1]Hit;AOI[Q2]Hit;AOI[Q3]Hit;AOI[Q4]Hit
P03;1;1;0;0;0;0;0;0
P03;2;1;0;0;0;1;0;0
P03;3;1;1;0;0;0;0;0
P03;4;1;0;0;0;0;0;0
P03;5;1;0;0;0;0;0;0
P03;6;1;0;0;0;0;0;0
P03;7;1;0;0;0;0;0;0
P03;8;1;0;0;0;0;0;0
P03;9;1;0;0;0;0;0;0
P03;10;1;0;0;0;0;0;0
P03;11;1;0;0;0;0;0;0
P03;12;1;0;0;0;0;0;0
P03;13;1;0;0;0;0;0;0
P03;14;1;0;0;0;0;0;0
P03;15;1;0;0;0;0;0;0
P03;16;1;0;0;0;0;0;0
P03;17;1;0;0;0;0;0;0
P03;18;1;0;0;0;0;0;0
P03;19;1;0;0;0;0;0;0
P03;20;1;0;0;0;0;0;0
P03;21;1;0;0;0;0;0;0
P03;22;1;0;0;0;0;0;0
P03;23;1;0;0;0;0;0;0
P03;24;1;0;0;0;0;0;0
P03;25;1;0;0;0;0;0;0
P03;26;1;0;0;0;0;0;0
P03;27;1;0;0;0;0;0;0
P03;28;1;0;0;0;0;0;0
P03;29;1;0;0;0;0;0;0
P03;30;1;0;0;0;1;0;0
P03;31;1;0;0;0;1;0;0
P03;32;1;0;0;1;0;0;0
P03;33;1;0;0;1;0;0;0
P03;34;1;0;0;1;0;0;0
P03;35;1;0;0;1;0;0;0
P03;36;1;0;0;1;0;0;0
P03;37;1;0;0;0;0;0;0
P03;38;1;0;0;0;0;0;0
P03;39;1;0;0;0;0;0;0
P03;40;1;0;0;0;0;0;0
P03;41;1;0;0;0;0;0;0
P03;42;1;0;0;0;0;0;0
P03;43;1;0;0;0;0;0;0
P03;44;1;0;0;0;0;0;0
P03;45;1;0;0;0;0;0;0
P03;46;1;0;0;0;0;0;0
P03;47;1;0;0;0;0;0;0
P03;48;1;0;0;0;0;0;0
P03;49;1;0;0;0;0;0;0
P03;50;1;0;0;0;0;0;0
P03;51;1;0;0;0;0;0;0
P03;52;1;0;0;0;0;0;0
P03;53;1;0;0;0;0;0;0
P03;54;1;0;0;0;0;0;0
P03;55;1;0;0;0;0;0;0
P03;56;1;0;0;0;0;0;0
P03;57;1;0;0;0;0;0;0
P03;58;1;0;0;0;0;0;0
P03;59;1;0;0;0;0;0;0
P03;60;1;0;0;0;0;0;0
P03;61;1;0;0;0;0;0;0
P03;62;1;0;0;0;0;0;0
P03;63;1;0;0;0;0;0;0
P03;64;1;0;0;0;0;0;0
P03;65;1;0;0;0;0;0;0
P03;66;1;0;0;0;0;0;0
P03;67;1;0;0;0;0;0;0
P03;68;1;0;0;0;0;0;0
P03;69;1;0;0;0;1;0;0
P03;70;1;0;0;0;1;0;0
P03;71;1;0;0;0;1;0;0
P03;72;1;0;0;1;0;0;0
P03;73;1;0;0;0;0;0;0
P03;74;1;0;0;1;0;0;0
P03;75;1;0;0;1;0;0;0
P03;76;1;0;1;0;0;0;0
P03;77;1;0;1;0;0;0;0
P03;78;1;0;1;0;0;0;0
P03;79;1;0;1;0;0;0;0
P03;80;1;0;1;0;0;0;0
P03;81;1;0;0;1;0;0;0
P03;82;1;0;0;1;0;0;0
P03;83;1;0;0;1;0;0;0
P03;84;1;0;0;0;1;0;0
P03;85;1;0;1;0;0;0;0
P03;86;1;0;1;0;0;0;0
P03;87;1;0;1;0;0;0;0
P03;88;1;0;1;0;0;0;0
P03;89;1;0;1;0;0;0;0
P03;90;1;0;1;0;0;0;0
P03;91;1;0;1;0;0;0;0
P03;92;1;0;1;0;0;0;0
P03;93;1;0;1;0;0;0;0
P03;94;1;0;0;1;0;0;0
P03;95;1;0;0;1;0;0;0
P03;96;1;0;0;1;0;0;0
P03;97;1;0;0;0;1;0;0
P03;98;1;0;0;0;1;0;0
P03;99;1;0;0;1;0;0;0
P03;100;1;0;1;0;0;0;0
P03;101;1;0;1;0;0;0;0
P03;102;1;0;1;0;0;0;0
P03;103;1;0;1;0;0;0;0
P03;104;1;0;1;0;0;0;0
P03;105;1;0;1;0;0;0;0
P03;106;1;0;1;0;0;0;0
P03;107;1;0;1;0;0;0;0
P03;108;1;0;0;1;0;0;0
P03;109;1;0;0;1;0;0;0
P03;110;1;0;0;1;0;0;0
P03;111;1;0;0;1;0;0;0
P03;112;1;0;0;0;1;0;0
P03;113;1;0;0;1;0;0;0
P03;114;1;0;0;1;0;0;0
P03;115;1;0;0;1;0;0;0
P03;116;1;0;0;0;1;0;0
P03;117;1;0;0;1;0;0;0
P03;118;1;0;0;1;0;0;0
P03;119;1;0;0;0;1;0;0
P03;120;1;0;0;0;1;0;0
P03;121;1;0;0;1;0;0;0
P03;122;1;0;0;0;1;0;0
P03;123;1;0;0;1;0;0;0
P03;124;1;0;0;1;0;0;0
P03;125;1;0;0;1;0;0;0
P03;126;1;0;0;0;1;0;0
P03;127;1;0;0;1;0;0;0
P03;128;1;0;0;1;0;0;0
P03;129;1;0;0;0;0;0;0
P03;130;1;0;0;0;0;0;0
P03;131;1;0;0;0;0;0;0
P03;132;1;0;0;0;0;0;0
P03;133;1;0;0;0;0;0;0
P03;134;1;0;0;0;0;0;0
P03;135;1;0;0;0;0;0;0
P03;136;1;0;0;0;0;0;0
P03;137;1;0;0;1;0;0;0
P03;138;1;0;0;1;0;0;0
P03;139;1;0;0;0;1;0;0
P03;140;1;0;0;0;1;0;0
P03;141;1;0;0;0;1;0;0
P03;142;1;0;1;0;0;0;0
P03;143;1;0;1;0;0;0;0
P03;144;1;0;1;0;0;0;0
P03;145;1;0;1;0;0;0;0
P03;146;1;0;0;0;0;0;0
P03;147;1;0;0;0;0;0;0
P03;148;1;0;0;1;0;0;0
P03;149;1;0;0;0;0;0;0
P03;150;1;0;0;0;0;0;0
P03;151;1;0;0;1;0;0;0
P03;152;1;0;0;1;0;0;0
P03;153;1;0;0;1;0;0;0
P03;154;1;0;0;1;0;0;0
P03;155;1;0;0;0;1;0;0
P03;156;1;0;0;0;1;0;0
P03;157;1;0;0;0;1;0;0
P03;158;1;0;0;0;1;0;0
P03;159;1;0;0;0;1;0;0
P03;160;1;0;0;0;1;0;0
P03;161;1;0;0;0;1;0;0
P03;162;1;0;0;0;1;0;0
P03;163;1;0;0;0;1;0;0
P03;164;1;0;0;1;0;0;0
P03;165;1;0;0;1;0;0;0
P03;166;1;0;0;1;0;0;0
P03;167;1;0;0;0;0;0;1
P03;168;1;0;0;0;0;0;1
P03;169;1;0;0;1;0;0;0
P03;170;1;0;0;1;0;0;0
P03;171;1;0;0;1;0;0;0
P03;172;1;0;1;0;0;0;0
P03;173;1;0;1;0;0;0;0
P03;174;1;0;1;0;0;0;0
P03;175;1;0;1;0;0;0;0
P03;176;1;0;1;0;0;0;0
P03;177;1;0;1;0;0;0;0
P03;178;1;0;0;1;0;0;0
P03;179;1;0;0;0;0;0;1
P03;180;1;0;0;0;1;0;0
P03;181;1;0;0;0;0;0;0
P03;182;1;0;0;0;0;0;0
P03;183;1;0;0;0;0;0;0
P03;184;1;0;0;0;0;0;0
P03;185;1;0;0;0;0;0;0
P03;186;1;0;0;0;0;0;0
P03;187;1;0;0;0;0;0;0
P03;188;1;0;0;0;0;0;0
P03;189;1;0;0;0;0;0;0
P03;190;1;0;0;0;0;0;0
P03;191;1;0;0;0;0;0;0
P03;192;1;0;0;0;0;0;0
P03;193;1;0;0;0;0;0;1
P03;194;1;0;0;0;0;0;1
P03;195;1;0;0;0;0;0;1
P03;196;1;0;0;0;0;0;1
P03;197;1;0;0;0;0;0;1
P03;198;1;0;0;0;0;0;1
P03;199;1;0;0;0;1;0;0
P03;200;1;0;0;0;0;0;0
P03;201;1;0;0;0;0;0;0
P03;202;1;0;0;0;0;0;0
P03;203;1;0;0;0;0;0;0
P03;204;1;0;0;0;0;0;0
P03;205;1;0;0;0;0;0;0
P03;206;1;0;0;0;0;1;0
P03;207;1;0;0;0;0;1;0
P03;208;1;0;0;0;0;1;0
P03;209;1;0;0;0;1;0;0
P03;210;1;0;0;0;1;0;0
P03;211;1;0;0;1;0;0;0
P03;212;1;0;0;1;0;0;0
P03;213;1;0;0;1;0;0;0
P03;214;1;0;0;0;1;0;0
P03;215;1;0;0;0;0;0;0
P03;216;1;0;0;0;1;0;0
P03;217;1;0;0;0;0;1;0
P03;218;1;0;0;0;1;0;0